1,19,5,875071515
1,33,4,878542699
1,78,1,878543176
1,29,1,878542869
1,81,5,875072865
1,27,2,876892946
1,96,5,875072716
1,18,4,887432020
1,61,4,878542420
1,59,5,876892817
1,6,5,887431973
1,13,5,875071805
1,28,4,875072173
1,82,5,878542589
1,56,4,875072716
1,94,2,875072956
1,72,4,878542678
1,24,3,875071713
1,3,4,878542960
1,97,3,875073128
1,14,5,874965706
1,84,4,875072923
1,31,3,875072144
1,12,5,878542960
1,20,4,887431883
1,70,3,875072895
1,83,3,875072370
1,95,4,875072303
1,42,5,876892425
2,13,4,888551922
2,19,3,888550871
2,1,4,888550871
2,14,4,888551853
2,100,5,888552084
2,10,2,888551853
2,50,5,888552084
2,25,4,888551648
4,11,4,892004520
4,50,5,892003526
5,1,4,875635748
5,70,4,875636389
5,89,5,875636033
5,25,3,875635318
5,98,3,875720691
5,99,3,875721216
5,79,3,875635895
5,80,2,875636511
5,69,1,875721555
5,100,5,875635349
5,66,1,875721019
5,21,3,875635327
5,42,5,875636360
5,2,3,875636053
5,62,4,875637575
5,94,3,878844651
6,69,3,883601277
6,87,4,883602174
6,28,2,883603013
6,70,3,883601427
6,14,5,883599249
6,8,4,883600657
6,19,4,883602965
6,9,4,883599205
6,23,4,883601365
6,86,3,883603013
6,71,4,883601053
6,21,3,883600152
6,22,3,883602048
6,64,4,883600597
6,12,4,883601053
6,89,4,883600842
6,47,3,883600943
6,50,4,883600842
6,79,3,883600747
7,11,3,891352451
7,52,4,891353801
7,56,5,891351432
7,82,3,891351471
7,77,5,891353325
7,27,4,891352692
7,7,5,891352220
7,22,5,891351121
7,100,5,891351082
7,69,5,891351728
7,62,3,891354499
7,28,5,891352341
7,47,5,891352692
7,53,5,891354689
7,71,5,891352692
7,72,5,891353977
7,96,5,891351383
7,73,3,892133154
7,23,3,891351383
7,79,4,891352261
7,98,4,891351002
7,44,5,891351728
7,99,5,891352557
8,50,5,879362124
8,7,3,879362287
8,89,4,879362124
8,56,5,879362183
8,79,4,879362286
8,96,3,879362183
8,55,5,879362286
8,11,3,879362233
8,22,5,879362183
8,82,5,879362356
9,7,4,886960030
9,50,5,886960055
9,6,5,886960055
10,93,4,877892160
10,22,5,877888812
10,98,4,877889261
10,1,4,877888877
10,12,5,877886911
10,40,4,877892438
10,11,4,877888677
10,56,5,877886598
10,64,4,877886598
10,85,4,877892438
10,50,5,877888545
10,23,5,877886911
10,33,4,877893020
10,59,4,877886722
10,60,3,877892110
10,13,3,877892050
10,70,4,877891747
10,4,4,877889130
10,69,4,877889131
10,82,4,877886912
10,32,4,877886661
10,99,5,877889130
10,9,4,877889005
10,16,4,877888877
10,7,4,877892210
10,100,5,877891747
10,48,4,877889058
11,28,5,891904241
11,51,4,891906439
11,24,3,891904016
11,12,2,891904194
11,90,2,891905298
11,88,3,891905003
11,69,3,891904270
11,70,4,891904573
11,58,3,891904596
11,57,2,891904552
11,83,5,891904335
11,29,3,891904805
11,52,3,891904335
11,79,4,891905783
11,94,3,891905324
11,40,3,891905279
11,54,3,891905936
11,9,5,891902970
11,100,4,891902718
11,42,3,891905058
11,11,2,891904271
11,25,3,891903836
11,8,4,891904949
11,38,3,891905936
11,39,3,891905824
11,98,2,891905783
11,22,4,891904241
11,47,4,891904551
11,86,4,891904551
11,97,4,891904300
11,15,5,891903067
11,56,4,891904949
12,96,4,879959583
12,98,5,879959068
12,97,5,879960826
12,4,5,879960826
12,15,5,879959670
12,28,5,879958969
12,82,4,879959610
12,50,4,879959044
12,88,5,879960826
12,71,4,879959635
12,69,5,879958902
